"River_Basin_Area","Water_Object","Station_Number"," Station_Location","Opening_Year","Monitoring_Type","Longitude_Original","Latitude_Original","Longitude","Latitude"
"Արարատյան","Yeghegis","352","գյ. Գետիկվանքից վերև",2020,"Հսկողական","45° 30' 22.649"" E","39° 55' 17.940"" N",45.506291,39.92165
"Արարատյան","Vorotan-Arpa Waterway","353","թունելի ելքից",2020,"Գործառնական","45° 39' 28.612"" E","39° 47' 13.090"" N",45.657948,39.786969
"Հարավային","Vorotan","354","Ակունք",2020,NA,"45° 44' 23.337"" E","39° 45' 59.451"" N",45.739816,39.766514
NA,"Hrazdan","374","Երևանյան լճի մուտքի մոտ",NA,NA,NA,NA,44.48972,40.15917
"Սևան","Lake Sevan - Great Sevan","ՄՍ - 0","Մեծ Սևան",2019,NA,NA,NA,45.3784167,40.3725
"Սևան","Lake Sevan","115-BS","Ծափաթաղ-ափամերձ",2011,"Հսկողական","45° 27' 39.200"" E","40° 24' 32.900"" N",45.460889,40.409139
"Սևան","Lake Sevan","115՛-BS","Ծափաթաղ-կենտրոնական",2011,"Հսկողական","45° 26' 51.700"" E","40° 24' 18.300"" N",45.447694,40.405083
"Սևան","Lake Sevan","116-BS","Փամբակ-ափամերձ",2011,"Հսկողական","45° 31' 56.100"" E","40° 21' 53.400"" N",45.53225,40.364833
"Սևան","Lake Sevan","116՛-BS","Փամբակ-կենտրոնական",2011,"Հսկողական","45° 31' 8.800"" E","40° 21' 38.000"" N",45.519111,40.360556
"Սևան","Lake Sevan","117-BS","Արեգունի -ափամերձ",2011,"Հսկողական","45° 35' 24.800"" E","40° 19' 26.600"" N",45.590222,40.324056
"Սևան","Lake Sevan","117՛-BS","Արեգունի-կենտրոնական",2011,"Հսկողական","45° 35' 2.400"" E","40° 19' 21.000"" N",45.584,40.3225
"Սևան","Lake Sevan","118-BS","Գիլի-ափամերձ",2011,"Հսկողական","45° 37' 49.700"" E","40° 15' 9.500"" N",45.630472,40.252639
"Սևան","Lake Sevan","118՛-BS","Գիլի-կենտրոնական",2011,"Հսկողական","45° 35' 45.200"" E","40° 16' 34.800"" N",45.595889,40.276333
"Սևան","Lake Sevan","119-BS","Արփա -ափամերձ",2011,"Հսկողական","45° 29' 42.500"" E","40° 9' 54.900"" N",45.495139,40.16525
"Սևան","Lake Sevan","119՛-BS","Արփա-կենտրոնական",2011,"Հսկողական","45° 31' 37.900"" E","40° 13' 29.700"" N",45.527194,40.224917
"Սևան","Lake Sevan","120-BS","Ծովինար-ափամերձ",2011,"Հսկողական","45° 27' 1.500"" E","40° 11' 18.300"" N",45.450417,40.188417
"Սևան","Lake Sevan","120՛-BS","Ծովինար-կենտրոնական",2011,"Հսկողական","45° 27' 23.700"" E","40° 12' 24.900"" N",45.456583,40.206917
"Սևան","Lake Sevan","121-BS","Մարտունի-ափամերձ",2011,"Հսկողական","45° 18' 4.400"" E","40° 10' 7.300"" N",45.301222,40.168694
"Սևան","Lake Sevan","121՛-BS","Մարտունի-կենտրոնական",2011,"Հսկողական","45° 18' 15.600"" E","40° 10' 54.400"" N",45.304333,40.181778
"Սևան","Lake Sevan","122'-BS","24-րդ կայան-կենտրոնական",2011,"Հսկողական",NA,NA,45.24199,40.23124
"Սևան","Lake Sevan","123-BS","Կարմիր գյուղ-ափամերձ",2011,"Հսկողական","45° 13' 19.700"" E","40° 17' 9.600"" N",45.222139,40.286
"Սևան","Lake Sevan","123՛-BS","Կարմիր գյուղ-կենտրոնական",2011,"Հսկողական","45° 16' 36.500"" E","40° 17' 14.200"" N",45.276806,40.287278
"Սևան","Lake Sevan","124-BS","Նորատուս-ափամերձ",2011,"Հսկողական","45° 14' 15.600"" E","40° 23' 37.800"" N",45.237667,40.393833
"Սևան","Lake Sevan","124՛-BS","Նորատուս-կենտրոնական",2011,"Հսկողական","45° 19' 55.600"" E","40° 22' 50.100"" N",45.332111,40.380583
"Սևան","Lake Sevan","125-SS","Գավառագետ-ափամերձ",2011,"Հսկողական","45° 11' 46.900"" E","40° 25' 44.700"" N",45.196361,40.429083
"Սևան","Lake Sevan","125՛-SS","Գավառագետ-կենտրոնական",2011,"Հսկողական","45° 11' 5.500"" E","40° 26' 56.600"" N",45.184861,40.449056
"Սևան","Lake Sevan","126-SS","Այրիվանք-ափամերձ",2011,"Հսկողական","45° 6' 42.200"" E","40° 26' 14.500"" N",45.111722,40.437361
"Սևան","Lake Sevan","126՛-SS","Այրիվանք-կենտրոնական",2011,"Հսկողական","45° 7' 25.300"" E","40° 27' 3.000"" N",45.123694,40.450833
